threshold,hybrid_token_f1,hybrid_fuzzy,extractive_count,generative_count,extractive_rate
0.88671875,0.6879024442642582,0.8419958393202854,63,97,0.39375
0.9306640625,0.6894607098469139,0.8435948534390783,62,98,0.3875
0.93994140625,0.6919228310590351,0.8444727798604829,61,99,0.38125
0.9404296875,0.6879876458738499,0.8422445189909176,60,100,0.375
1.064453125,0.6935432014294055,0.8460955290919276,59,101,0.36875
1.16796875,0.68798764587385,0.8426681097370888,58,102,0.3625
1.1875,0.68798764587385,0.8426681097370888,57,103,0.35625
1.201171875,0.6882327439130658,0.8433146614612269,56,104,0.35
1.2119140625,0.689390151320473,0.8452024463823257,55,105,0.34375
1.294921875,0.6837083331386549,0.8421501208009303,54,106,0.3375
1.298828125,0.6837083331386549,0.8421501208009303,53,107,0.33125
1.3173828125,0.6834768516571733,0.8421501208009303,52,108,0.325
1.3720703125,0.679800381068938,0.8414971357263035,51,109,0.31875
1.3955078125,0.6763729617140994,0.8401509818801495,50,110,0.3125
1.5205078125,0.6791955423592606,0.8444930871433074,49,111,0.30625
1.529296875,0.6770080423592606,0.8425578167977111,48,112,0.3
1.5634765625,0.6827031643104802,0.846360726850621,47,113,0.29375
1.6494140625,0.6808281643104801,0.846360726850621,46,114,0.2875
1.66796875,0.6847224998224627,0.8491058248898368,45,115,0.28125
1.669921875,0.6905414653397041,0.8530441810542204,44,116,0.275
1.716796875,0.6893509891492279,0.8528076945677338,43,117,0.26875
1.7900390625,0.6898061712220571,0.8530213460660689,42,118,0.2625
1.86328125,0.6902776151875744,0.853834153451379,41,119,0.25625
1.880859375,0.6847220596320188,0.8498568807241064,40,120,0.25
2.1015625,0.6847220596320188,0.8498568807241064,39,121,0.24375
2.251953125,0.6847220596320188,0.8498568807241064,38,122,0.2375
2.41015625,0.6853702077801669,0.8508028550776906,37,123,0.23125
2.46484375,0.6895368744468335,0.8550858500015484,36,124,0.225
2.5,0.6862474007626231,0.8550858500015484,35,125,0.21875
2.701171875,0.6846402579054802,0.8544480948995077,34,126,0.2125
2.8515625,0.686579913077894,0.855673585095586,33,127,0.20625
2.89453125,0.6879306456786265,0.8555604258198054,32,128,0.2
3.10546875,0.6879306456786265,0.8555604258198054,31,129,0.19375
3.18359375,0.6863318084693242,0.8555604258198054,30,130,0.1875
3.2265625,0.6806026418026576,0.8526494669156957,29,131,0.18125
3.248046875,0.68563736402488,0.8559467110101838,28,132,0.175
3.341796875,0.68524673902488,0.8558599054546285,27,133,0.16875
3.34375,0.6813616038897448,0.8533350710175422,26,134,0.1625
3.412109375,0.6808777329220028,0.8530809070547477,25,135,0.15625
3.474609375,0.6808777329220028,0.8530809070547477,24,136,0.15
3.57421875,0.6783439491382189,0.8530809070547477,23,137,0.14375
4.0234375,0.672843949138219,0.8497234690382186,22,138,0.1375
4.0390625,0.6780225205667904,0.8531225918452362,21,139,0.13125
4.09765625,0.6780225205667904,0.8531225918452362,20,140,0.125
4.234375,0.6832470216754378,0.856603604503464,19,141,0.11875
4.48828125,0.6832470216754378,0.856603604503464,18,142,0.1125
4.6171875,0.6832470216754378,0.856603604503464,17,143,0.10625
4.72265625,0.6832470216754378,0.856603604503464,16,144,0.1
4.83984375,0.6827261883421045,0.856603604503464,15,145,0.09375
5.28125,0.6827261883421045,0.856603604503464,14,146,0.0875
5.71484375,0.6810814514999992,0.8556934103287068,13,147,0.08125
5.78515625,0.684238017156565,0.8589672198525162,12,148,0.075
5.94921875,0.6895264786950264,0.8626210660063623,11,149,0.06875
6.22265625,0.6860542564728043,0.8607460660063625,10,150,0.0625
6.59765625,0.6912404266855703,0.864306192588641,9,151,0.05625
6.7109375,0.6912404266855703,0.864306192588641,8,152,0.05
6.8515625,0.6878750420701856,0.864306192588641,7,153,0.04375
6.87890625,0.6878750420701856,0.864306192588641,6,154,0.0375
7.39453125,0.6878750420701856,0.864306192588641,5,155,0.03125
8.1875,0.6878750420701856,0.864306192588641,4,156,0.025
8.578125,0.6878750420701856,0.864306192588641,3,157,0.01875
8.71875,0.6869821849273284,0.864306192588641,2,158,0.0125
10.5234375,0.6855115966920342,0.8641276211600696,1,159,0.00625
10.523437500000002,0.6855115966920342,0.8641276211600696,0,160,0.0
